CIUDAD;YEAR;MES;CANTIDAD
Alava;2019;MARZO;1
Alava;2019;ABRIL;1
Alava;2019;MAYO;1
Guipuzcoa;2019;ENERO;1
Guipuzcoa;2019;FEBRERO;1
Guipuzcoa;2019;MARZO;1
Guipuzcoa;2019;ABRIL;1
Guipuzcoa;2019;MAYO;1
Vizcaya;2019;ENERO;7
Vizcaya;2019;FEBRERO;7
Vizcaya;2019;MARZO;7
Vizcaya;2019;ABRIL;7
Vizcaya;2019;MAYO;8
Almeria;2020;ENERO;115
Almeria;2020;FEBRERO;117
Almeria;2020;MARZO;119
Almeria;2020;ABRIL;122
Almeria;2020;MAYO;124
Cadiz;2020;ENERO;147
Cadiz;2020;FEBRERO;150
Cadiz;2020;MARZO;153
Cadiz;2020;ABRIL;156
Cadiz;2020;MAYO;159
Cordoba;2020;ENERO;79
Cordoba;2020;FEBRERO;81
Cordoba;2020;MARZO;83
Cordoba;2020;ABRIL;84
Cordoba;2020;MAYO;86
Granada;2020;ENERO;102
Granada;2020;FEBRERO;104
Granada;2020;MARZO;106
Granada;2020;ABRIL;108
Granada;2020;MAYO;110
Huelva;2020;ENERO;95
Huelva;2020;FEBRERO;97
Huelva;2020;MARZO;99
Huelva;2020;ABRIL;101
Huelva;2020;MAYO;103
Jaen;2020;ENERO;40
Jaen;2020;FEBRERO;41
Jaen;2020;MARZO;41
Jaen;2020;ABRIL;42
Jaen;2020;MAYO;43
Malaga;2020;ENERO;235
Malaga;2020;FEBRERO;240
Malaga;2020;MARZO;245
Malaga;2020;ABRIL;250
Malaga;2020;MAYO;255
Sevilla;2020;ENERO;189
Sevilla;2020;FEBRERO;193
Sevilla;2020;MARZO;196
Sevilla;2020;ABRIL;200
Sevilla;2020;MAYO;204
Huesca;2020;ENERO;22
Huesca;2020;FEBRERO;23
Huesca;2020;MARZO;23
Huesca;2020;ABRIL;23
Huesca;2020;MAYO;24
Teruel;2020;ENERO;6
Teruel;2020;FEBRERO;6
Teruel;2020;MARZO;6
Teruel;2020;ABRIL;6
Teruel;2020;MAYO;6
Zaragoza;2020;ENERO;128
Zaragoza;2020;FEBRERO;131
Zaragoza;2020;MARZO;133
Zaragoza;2020;ABRIL;136
Zaragoza;2020;MAYO;139
Las Palmas;2020;ENERO;123
Las Palmas;2020;FEBRERO;125
Las Palmas;2020;MARZO;128
Las Palmas;2020;ABRIL;130
Las Palmas;2020;MAYO;133
Santa Cruz de Tenerife;2020;ENERO;132
Santa Cruz de Tenerife;2020;FEBRERO;135
Santa Cruz de Tenerife;2020;MARZO;138
Santa Cruz de Tenerife;2020;ABRIL;141
Santa Cruz de Tenerife;2020;MAYO;143
Avila;2020;ENERO;3
Avila;2020;FEBRERO;3
Avila;2020;MARZO;3
Avila;2020;ABRIL;4
Avila;2020;MAYO;4
Burgos;2020;ENERO;38
Burgos;2020;FEBRERO;38
Burgos;2020;MARZO;39
Burgos;2020;ABRIL;40
Burgos;2020;MAYO;41
Leon;2020;ENERO;34
Leon;2020;FEBRERO;35
Leon;2020;MARZO;36
Leon;2020;ABRIL;36
Leon;2020;MAYO;37
Palencia;2020;ENERO;18
Palencia;2020;FEBRERO;18
Palencia;2020;MARZO;18
Palencia;2020;ABRIL;19
Palencia;2020;MAYO;19
Salamanca;2020;ENERO;20
Salamanca;2020;FEBRERO;20
Salamanca;2020;MARZO;21
Salamanca;2020;ABRIL;21
Salamanca;2020;MAYO;22
Segovia;2020;ENERO;13
Segovia;2020;FEBRERO;14
Segovia;2020;MARZO;14
Segovia;2020;ABRIL;14
Segovia;2020;MAYO;14
Soria;2020;ENERO;9
Soria;2020;FEBRERO;9
Soria;2020;MARZO;9
Soria;2020;ABRIL;9
Soria;2020;MAYO;10
Valladolid;2020;ENERO;40
Valladolid;2020;FEBRERO;41
Valladolid;2020;MARZO;41
Valladolid;2020;ABRIL;42
Valladolid;2020;MAYO;43
Zamora;2020;ENERO;8
Zamora;2020;FEBRERO;8
Zamora;2020;MARZO;8
Zamora;2020;ABRIL;8
Zamora;2020;MAYO;8
Albacete;2020;ENERO;34
Albacete;2020;FEBRERO;35
Albacete;2020;MARZO;36
Albacete;2020;ABRIL;36
Albacete;2020;MAYO;37
Ciudad Real;2020;ENERO;38
Ciudad Real;2020;FEBRERO;38
Ciudad Real;2020;MARZO;39
Ciudad Real;2020;ABRIL;40
Ciudad Real;2020;MAYO;41
Cuenca;2020;ENERO;15
Cuenca;2020;FEBRERO;16
Cuenca;2020;MARZO;16
Cuenca;2020;ABRIL;16
Cuenca;2020;MAYO;17
Guadalajara;2020;ENERO;26
Guadalajara;2020;FEBRERO;27
Guadalajara;2020;MARZO;28
Guadalajara;2020;ABRIL;28
Guadalajara;2020;MAYO;29
Toledo;2020;ENERO;106
Toledo;2020;FEBRERO;108
Toledo;2020;MARZO;110
Toledo;2020;ABRIL;112
Toledo;2020;MAYO;115
Barcelona;2020;ENERO;4
Barcelona;2020;FEBRERO;5
Barcelona;2020;MARZO;5
Barcelona;2020;ABRIL;5
Barcelona;2020;MAYO;5
Girona;2020;ENERO;2
Girona;2020;FEBRERO;2
Girona;2020;MARZO;2
Girona;2020;ABRIL;2
Girona;2020;MAYO;2
Lleida;2020;ENERO;7
Lleida;2020;FEBRERO;7
Lleida;2020;MARZO;7
Lleida;2020;ABRIL;7
Lleida;2020;MAYO;7
Tarragona;2020;ENERO;-1
Tarragona;2020;FEBRERO;-1
Tarragona;2020;MARZO;-1
Tarragona;2020;ABRIL;-1
Tarragona;2020;MAYO;-1
Alicante;2020;ENERO;296
Alicante;2020;FEBRERO;302
Alicante;2020;MARZO;308
Alicante;2020;ABRIL;314
Alicante;2020;MAYO;320
Castellon;2020;ENERO;68
Castellon;2020;FEBRERO;70
Castellon;2020;MARZO;71
Castellon;2020;ABRIL;73
Castellon;2020;MAYO;74
Valencia;2020;ENERO;351
Valencia;2020;FEBRERO;358
Valencia;2020;MARZO;365
Valencia;2020;ABRIL;373
Valencia;2020;MAYO;380
Badajoz;2020;ENERO;60
Badajoz;2020;FEBRERO;61
Badajoz;2020;MARZO;62
Badajoz;2020;ABRIL;63
Badajoz;2020;MAYO;65
Caceres;2020;ENERO;26
Caceres;2020;FEBRERO;27
Caceres;2020;MARZO;28
Caceres;2020;ABRIL;28
Caceres;2020;MAYO;29
A Coruña;2020;ENERO;63
A Coruña;2020;FEBRERO;64
A Coruña;2020;MARZO;65
A Coruña;2020;ABRIL;67
A Coruña;2020;MAYO;68
Lugo;2020;ENERO;46
Lugo;2020;FEBRERO;47
Lugo;2020;MARZO;48
Lugo;2020;ABRIL;49
Lugo;2020;MAYO;50
Ourense;2020;ENERO;25
Ourense;2020;FEBRERO;26
Ourense;2020;MARZO;26
Ourense;2020;ABRIL;27
Ourense;2020;MAYO;27
Pontevedra;2020;ENERO;81
Pontevedra;2020;FEBRERO;82
Pontevedra;2020;MARZO;84
Pontevedra;2020;ABRIL;86
Pontevedra;2020;MAYO;87
Alava;2020;ENERO;1
Alava;2020;FEBRERO;1
Alava;2020;MARZO;1
Alava;2020;ABRIL;1
Alava;2020;MAYO;1
Guipuzcoa;2020;ENERO;1
Guipuzcoa;2020;FEBRERO;1
Guipuzcoa;2020;MARZO;1
Guipuzcoa;2020;ABRIL;1
Guipuzcoa;2020;MAYO;1
Vizcaya;2020;ENERO;8
Vizcaya;2020;FEBRERO;8
Vizcaya;2020;MARZO;8
Vizcaya;2020;ABRIL;8
Vizcaya;2020;MAYO;8
